0,1,2
1.4148373636812948e-16,6.184973401298892e-05,2.8873820300068634e-05
1.5111848749139642e-16,6.192263542096462e-05,2.8907853464275655e-05
1.613634286654397e-16,6.199529103915147e-05,2.8941771884413228e-05
1.7225428895579562e-16,6.206770243172837e-05,2.8975576290699887e-05
1.838287178912383e-16,6.21398711466577e-05,2.9009267405783663e-05
1.9612637938409937e-16,6.221179871591732e-05,2.904284594485041e-05
2.0918904978231102e-16,6.228348665572863e-05,2.9076312615730266e-05
2.2306072021422705e-16,6.235493646678031e-05,2.9109668119002097e-05
2.377877033926664e-16,6.242614963444801e-05,2.9142913148096068e-05
2.5341874505026426e-16,6.24971276290103e-05,2.9176048389394444e-05
2.7000514018393003e-16,6.256787190586043e-05,2.9209074522330467e-05
2.8760085429216706e-16,6.263838390571465e-05,2.9241992219485583e-05
3.062626497950287e-16,6.270866505481653e-05,2.9274802146684848e-05
3.2605021783281455e-16,6.277871676513782e-05,2.9307504963090686e-05
3.470263156459268e-16,6.284854043457581e-05,2.9340101321295026e-05
3.6925690974501124e-16,6.291813744714699e-05,2.9372591867409703e-05
3.928113250871777e-16,6.298750917317766e-05,2.9404977241155465e-05
4.1776240048113605e-16,6.305665696949084e-05,2.9437258075949208e-05
4.441866504511747e-16,6.31255821795903e-05,2.946943499898989e-05
4.721644337972518e-16,6.319428613384111e-05,2.9501508631342825e-05
5.017801290960369e-16,6.326277014964715e-05,2.953347958802255e-05
5.331223173954088e-16,6.333103553162574e-05,2.9565348478074365e-05
5.662839723629125e-16,6.339908357177906e-05,2.9597115904654314e-05
6.013626581567409e-16,6.346691554966273e-05,2.962878246510794e-05
6.384607352962706e-16,6.353453273255155e-05,2.9660348751047613e-05
6.776855748175984e-16,6.36019363756024e-05,2.9691815348428616e-05
7.191497810084836e-16,6.366912772201439e-05,2.9723182837623873e-05
7.629714230259183e-16,6.373610800318636e-05,2.9754451793497494e-05
8.092742757090319e-16,6.380287843887174e-05,2.978562278547709e-05
