0,1,2,3
0.0,1.5021110950373948e-05,0.0,8.528790813141553e-06
0.0,1.5212129551431324e-05,0.0,8.637248682550788e-06
0.0,1.5403037269335636e-05,0.0,8.745643593952438e-06
0.0,1.559383324993908e-05,0.0,8.85397506237252e-06
0.0,1.578451666222942e-05,0.0,8.96224261597313e-06
0.0,1.5975086697500052e-05,0.0,9.070445795581212e-06
0.0,1.6165542568559656e-05,0.0,9.178584154239802e-06
0.0,1.6355883508978866e-05,0.0,9.286657256780307e-06
0.0,1.6546108772371993e-05,0.0,9.394664679414673e-06
0.0,1.6736217631711626e-05,0.0,9.50260600934622e-06
0.0,1.692620937867435e-05,0.0,9.610480844398156e-06
0.0,1.7116083323015764e-05,0.0,9.718288792658711e-06
0.0,1.7305838791973258e-05,0.0,9.826029472142058e-06
0.0,1.749547512969486e-05,0.0,9.933702510464004e-06
0.0,1.768499169669289e-05,0.0,1.0041307544531787e-05
0.0,1.787438786932105e-05,0.0,1.0148844220247174e-05
0.0,1.8063663039273648e-05,0.0,1.0256312192222133e-05
0.0,1.8252816613105784e-05,0.0,1.036371112350639e-05
0.0,1.8441848011773553e-05,0.0,1.0471040685326371e-05
0.0,1.8630756670193038e-05,0.0,1.0578300556834803e-05
0.0,1.8819542036817222e-05,0.0,1.0685490424870483e-05
0.0,1.9008203573229984e-05,0.0,1.0792609983727765e-05
0.0,1.9196740753756197e-05,0.0,1.0899658934935167e-05
0.0,1.938515306508716e-05,0.0,1.100663698704271e-05
0.0,1.9573440005920737e-05,0.0,1.111354385541758e-05
0.0,1.9761601086615302e-05,0.0,1.122037926204765e-05
0.0,1.9949635828856984e-05,0.0,1.1327142935352544e-05
0.0,2.0137543765339475e-05,0.0,1.143383461000184e-05
0.0,2.0325324439455854e-05,0.0,1.1540454026740081e-05
0.0,2.0512977405001864e-05,0.0,1.1647000932218316e-05
0.0,2.0700502225890106e-05,0.0,1.175347507883181e-05
0.0,2.0887898475874695e-05,0.0,1.1859876224563707e-05
0.0,2.1075165738285787e-05,0.0,1.1966204132834309e-05
0.0,2.1262303605773633e-05,0.0,1.2072458572355741e-05
0.0,2.1449311680061762e-05,0.0,1.2178639316991822e-05
0.0,2.1636189571708755e-05,0.0,1.2284746145622794e-05
0.0,2.1822936899878394e-05,0.0,1.2390778842014819e-05
0.0,2.2009553292117677e-05,0.0,1.2496737194693946e-05
0.0,2.219603838414247e-05,0.0,1.2602620996824395e-05
0.0,2.2382391819630425e-05,0.0,1.2708430046090987e-05
0.0,2.256861325002088e-05,0.0,1.2814164144585522e-05
0.0,2.2754702334321342e-05,0.0,1.2919823098696915e-05
0.0,2.2940658738920495e-05,0.0,1.3025406719005012e-05
0.0,2.312648213740725e-05,0.0,1.3130914820177857e-05
0.0,2.3312172210395707e-05,0.0,1.3236347220872302e-05
0.0,2.3497728645355738e-05,0.0,1.3341703743637817e-05
0.0,2.368315113644901e-05,0.0,1.344698421482339e-05
0.0,2.386843938437022e-05,0.0,1.355218846448737e-05
0.0,2.4053593096193263e-05,0.0,1.3657316326310142e-05
0.0,2.4238611985222268e-05,0.0,1.3762367637509528e-05
0.0,2.4423495770847213e-05,0.0,1.3867342238758818e-05
0.0,2.460824417840398e-05,0.0,1.3972239974107312e-05
0.0,2.4792856939038636e-05,0.0,1.4077060690903254e-05
0.0,2.4977333789575944e-05,0.0,1.4181804239719175e-05
0.0,2.5161674472391575e-05,0.0,1.4286470474279347e-05
0.0,2.5345878735288455e-05,0.0,1.4391059251389558e-05
0.0,2.552994633137645e-05,0.0,1.4495570430868815e-05
0.0,2.5713877018955783e-05,0.0,1.4600003875483133e-05
0.0,2.5897670561403712e-05,0.0,1.4704359450881212e-05
0.0,2.608132672706464e-05,0.0,1.4808637025532021e-05
0.0,2.6264845289143214e-05,0.0,1.4912836470664122e-05
0.0,2.644822602560049e-05,0.0,1.5016957660206698e-05
0.0,2.6631468719053218e-05,0.0,1.5121000470732375e-05
0.0,2.6814573156675622e-05,0.0,1.5224964781401457e-05
0.0,2.6997539130104298e-05,0.0,1.532885047390792e-05
0.0,2.7180366435345328e-05,0.0,1.5432657432426675e-05
0.0,2.7363054872684354e-05,0.0,1.553638554356252e-05
0.0,2.754560424659884e-05,0.0,1.5640034696300313e-05
0.0,2.7728014365672717e-05,0.0,1.57436047819565e-05
0.0,2.7910285042513473e-05,0.0,1.5847095694132064e-05
0.0,2.809241609367134e-05,0.0,1.5950507328666617e-05
0.0,2.827440733956061e-05,0.0,1.6053839583593736e-05
0.0,2.8456258604383127e-05,0.0,1.6157092359097524e-05
0.0,2.8637969716053723e-05,0.0,1.6260265557470267e-05
0.0,2.8819540506127496e-05,0.0,1.6363359083071148e-05
0.0,2.900097080972916e-05,0.0,1.646637284228613e-05
0.0,2.9182260465484057e-05,0.0,1.6569306743488787e-05
